제목,저자,발행기관,학술지명,권호사항,발행연도,작성언어,주제어,KDC,등재정보,자료형태,발행기관 URL,수록면,KCI 피인용횟수,비고,중단사유,제공처,소장기관,국문 초록 (Abstract),다국어 초록 (Multilingual Abstract),목차,exclude_reason
초급 한국어 학습자의 양태부사 습득 연구 = A Study on the Acquisition of Modal Adverbs by Beginner Learners of Korean,"이승연,이유경",국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.36No.3[2025]
",2025,Korean,"양태부사(modal adverbs),양태성(modality),통사적 제약(syntactic constraints),구어 자료 분석(spoken data analysis),어휘 습득(vocabulary acquisition)",,KCI등재,"학술저널
",http://www.iakle.com,203-236,,,," KCI, &nbsp;&nbsp; 스콜라",,,"This study aims to examine the acquisition of modal adverbs by beginning learners of Korean by analyzing their types, frequency, and accuracy in spoken data. For this purpose, instances of modal adverbs were extracted and analyzed from free conversation data collected over five months from eight beginning-level Korean learners. The analysis revealed that the modal adverbs most frequently used at the early stage were ama (“probably”), jinjja (“really”), and sasil (“in fact”), among which jinjja and sasil showed relatively high semantic and syntactic accuracy. In contrast, ama exhibited lower syntactic accuracy due to its diverse range of co-occurring grammatical forms and learners’ incomplete acquisition of such patterns. Other frequently used modal adverbs included hoksi (“by any chance”), kkok (“surely”), and byeollo (“not particularly”). Among them, byeollo posed little difficulty for learners due to its relatively clear usage condition of appearing only in negative sentences. However, hoksi and kkok were more difficult to use accurately, as they can be combined with a wide variety of grammatical constructions. An analysis of Korean language textbooks showed that although jeongmal (“really/truly”) was widely presented in instructional materials, jinjja was acquired more quickly and accurately by learners. This suggests that modal adverbs which are frequently used in spoken discourse may be acquired more easily than modal adverbs which are frequently presented in textbooks. Based on these findings, this study argues that modal adverbs with high frequency but low grammatical accuracy should be reinforced through supplementary vocabulary-focused instruction that emphasizes both modal meanings and syntactic constraints.",,short_abstract
고급 한국어 학습자의 외래어 능력에 미치는 요인 = Factors Affecting Loanword Proficiency of Advanced Korean Learners,최은지,국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.30No.2[2019]
",2019,Korean,"외래어,원어,동족어,어휘 학습 전략,외래어 인식 능력,외래어-원어 연계 능력,loanword,original word,cognate,vocabulary learning strategy,awareness of loanword,competence of associating loanword to original word",,KCI등재,"학술저널
",http://www.iakle.com,333-353,1,,," KCI, &nbsp;&nbsp; 스콜라",이화여자대학교 중앙도서관,,"In the present research, the researcher examines the variables affecting loanword proficiency of advanced-level Korean learners through regression analysis. In particular, the researcher focuses on the knowledge of original words, competence of awareness of loanwords, and the competence of associating loanwords to the original word, which are associated with strategic abilities among diverse factors with the possibility of affecting loanword proficiency. The researcher examines how these factors affect loanword proficiency. The knowledge of original word, awareness of loanwords, and competence of association loanwords to the original word of 47 advanced-level Korean learners in Chinese speaking countries were investigated in order to analyze their impact on the knowledge of foreign words through multiple regression analysis and logistic regression analysis. The result demonstrated that the knowledge of original word and the competence of associating loanwords to the original word affected the loanword proficiency of the learners. The existence of knowledge in the original word, awareness of loanwords, and competence of associating loanwords to the original word affected the knowledge of loanwords. The present research signifies that improving awareness of loanwords and competence of associating loanwords to the original word are critical when teaching foreign words to Korean learners.",,short_abstract
유형별로 본 한국어 능력 평가의 실제와 과제 = The Practice and Task of the Korean Language Testing,최은규,국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.17No.2[2006]
",2006,Korean,"placement test,achievement test,written test,interview,listening test,speaking test,reading test,writing test,vocabulary and grammar test),배치 시험,성취도 시험,지필시험,인터뷰,듣기 시험,말하기 시험,읽기 시험,쓰기 시험,어휘 및 문법 시험",,KCI등재,"학술저널
",http://www.iakle.com,289-319,17,,," KCI, &nbsp;&nbsp; 스콜라",,,"The purpose of this paper is to analyse the present condition of placement and achievement tests which are being given in the Korean educational institutions and to propose a better plan for the two test types on the basis of the result. The placement tests consist of written tests for writing and interviews for speaking. The placement is done by considering the results of both the written test and the interview. The placement tests need to be more specific through 1) examining the relevance to evaluating scope, 2) studying evaluating items and the number of items according to levels, 3) reviewing the reliability of deciding levels and 4) metrically studying the results of tests. The achievement tests target on the evaluation of learners' having learned and achieved through lessons. They include the mid-term and final examinations that are given in the education institutions for Korean and cover listening, speaking, writing and vocabulary and grammar tests. These should be taken into account for the achievement tests: 1) lowering the proportions of tests and introducing learner centered test systems such as the performance assessment, 2) establishing the assessing category on the basis of the curricula and teaching goals of the education institutions, 3) researching speaking and writing test marking, 4) reviewing and developing assessment types and 5) studying the application of computers to assessment. (Seoul National University)",,short_abstract
한국어 교육에서 패턴(pattern)으로서의 격조사+동사 교육의 필요성 = A Study on the necessity of the teaching case marker+verb construction as a pattern,고경태 ( Kyoung Tae Koh ),한국문법교육학회,문법 교육(Grammar education),"Vol.6No.-[2007]
",2007,,"격조사,용언,한국어 교육,패턴,문법 항목,어휘적 접근법,case marker,verb,Korean Language caching,pattern,grammar item,grammatical entry,Lexical approach",700,KCI등재,"학술저널
",,1-21,7,,," KCI, &nbsp;&nbsp; KISS",,,"This study aims to show that the pattern construction of the Korean `Case Marker+verb` should be taught together as a chunk, in that the education of grammar is indivisible from the lexical education. To achieve this purpose, the previous researches on the education of Korean case markers are examined and then, it is argued in this paper that Korean case markers are cannot be taught separately without the relevant verbs. And it is proposed that Korean `case marker+verb` construction must be taught together as a pattern.",,short_abstract
의미부류를 활용한 한국어 교육용 온톨로지 구축-고급 단계 [인지적 행위] 동사를 중심으로- = A Construction of Ontology for Korean Language Education Based on Sense Classification,이숙의,한국어의미학회,한국어 의미학(Korean Semantics),"Vol.43No.-[2014]
",2014,Korean,"동사(verb),명사(noun),술어(predicate),논항(argument),개념(class),온톨로지(ontology),의미 부류(sense classification),어휘 교육(vocabulary education),학습자(learner),한국어 교육(Korean language education).",,KCI등재,"학술저널
",http://semantics.or.kr,271-302,3,,," KCI, &nbsp;&nbsp; KISS",,,"The purpose of this paper is to build an Ontology for Korean language education, especially focused on learner who is placed in advanced level. Lexical items, in here, are from the vocabulary index for foreign learners which is a one of report of the national institute of the Korean language. For building a ontology, each meaning of verbs has to be analyzed. This paper focused on the [cognitive act] class. In section 3, class hierarchy and definition, lexical definition and semantic relation, case frame structure and argument information are described, and these information are referred to CoreNet and Sejong Electronic Lexicon of Korean. For building Korean educational ontology, in senction 4, prótége 4.1 which is a one of ontology construction tool was used. Each verb and noun(argument) was inserted into it’s class and connected by property relation markers.",,short_abstract
한국어 교육에서 규범과 표준의 문제 = The Concept of Norm and Standard in Korean Language Education,박석준 ( Seok Joon Park ),한국문법교육학회,문법 교육(Grammar education),"Vol.11No.-[2009]
",2009,,"한국어 교육,규범,표준,어휘,문법,표준 화법,표준 발음,Korean Language education,norms,standard,vocabulary,grammar,a standard speech,a standard pronunciation",700,KCI등재,"학술저널
",,29-49,,,," KCI, &nbsp;&nbsp; KISS",,,"This thesis considers about how the concept of norm and standard should be covered in Korean language education. In the education of Korean as the mother tongue, the concept of norm and standard should be presented strictly as a necessary criterion for the proper usage of Korean language. However we thought that the two concepts should not be considered equally in the education of Korean as a foreign language. This does not mean that the concept of norm and standard are not important or useless. Even so these are non-normative type or non-standard type, if these are used predominantly in the actual usage of Korean or take charge of any significant function, they should be presented. For this discussion, we looked into the problem of vocabulary standardization, norms of grammar, a standard speech with impracticality and a standard or practical pronunciation by giving examples.",,short_abstract
다문화가정 아동을 위한 동화 활용 어휘 교육 방안 연구 - 촉각 형용사를 중심으로 - ,"문희진,손경애",한국국제문화교류학회,문화교류와 다문화교육(Cultural Exchange and Multicultural Education),"Vol.11No.1[2022]
",2022,Korean,"한국어 교육,다문화가정 아동,동화,촉각 형용사,교육 방안,Korean Language Education,Children of Multicultural Families,Fairy Tale,Tactile Adjectives,Educational Methods",331,KCI등재,"학술저널
",,217-239,0,,," eArticle, &nbsp;&nbsp; eArticle",,,,"국문초록
I. 들어가는 말
Ⅱ. 이론적 배경
	1. 다문화가정 아동과 동화 활용 어휘 교육
	2. 촉각 형용사의 개념 및 분류
	3. 동화를 활용한 언어 교육 교수·학습 모형
Ⅲ. 촉각 형용사 교육용 동화 선정 기준과 목록
	1. 촉각 형용사 교육용 동화 목록
Ⅳ. 동화를 활용한 촉각 형용사 교수·학습 실제
	1. 수업 계획 단계
	2. 수업 활동 단계
	3. 수업 평가 단계
Ⅳ. 맺음말
참고문헌
<ABSTRACT>
",short_abstract
한국어 교육을 위한 명사화소 -음 -기 연구 -용언과의 패턴을 중심으로- = A Research on the Verb Patterns of Korean Nominalizer {-eum} and {-ki} for Korean Language teaching,고경태 ( Kyoung Tae Koh ),한국문법교육학회,문법 교육(Grammar education),"Vol.8No.-[2008]
",2008,,"동사 패턴,명사화소,어휘적 덩어리,verb pattern,nominalizer,Lexical chunk",700,KCI등재,"학술저널
",,1-29,,,," KCI, &nbsp;&nbsp; KISS",,,"This study aims to show that the usage pattern is necessary in teaching Korean language to foreign students, especially in teaching the Korean nominalizer {-eum} and {-ki}. For this purpose, the method to extract the usage patterns of the Korean nominalizer {-eum} and {-ki} from large-scale corpora is examined and the list of those usage patterns is shown. Until recently, {-eum} and {-ki} have been recognized that these nominalizers should be taught to foreign students mainly with their meaning and function or with the verbs which co-occur with these nominalizers. But this idea does not ensure the effective results from the Korean language learners. In this paper, it is proposed that the usage pattern, which include the nominalizer {-eum} and {-ki}, should be taught in lexical chunk unit. For this, I devise the method of drawing up the patterns of {-eum} and {-ki} through the examination of the Sejong Corpus which is composed of ten million words of Korean and present the list of the pattern of {-eum} and {-ki}.",,short_abstract
한국어 교육용 관용 표현 연구 = A Study on Educational Idiomatic Expressions of Korean language for Korean Language Learners,김현진 ( Hyeon Jin Kim ),숙명여자대학교 한국어문화연구소,한국어와 문화(N/A),"Vol.17No.-[2015]
",2015,,"교육용 관용 표현 선정,등급별 관용 표현,사용 빈도,의미의 투명도,구성 어휘의 난이도,selects educational idiomatic expressions,idiomatic expressions by grade,idiomatic expressions based on the frequency of use,transparency of idiom meaning,vocabulary composed of difficulty",700,미등재,"학술저널
",,99-129,,,, KISS,,,"This study selects idiomatic expressions that Korean-language leaners should know. So many researches have dealt with the idiomatic expressions so far but, it is never considered easy to define which of the idiomatic expressions should be acquired at which stage of language learning. In regard to other previouslyconducted investigations, they basically extracted idiomatic expressions for educational use from current Korean language textbooks adopted by colleges and then, made a list of the expressions to re-divide them on a grade basis. However, the prior studies faced with huge differences in the numbers of the idiomatic expressions presented both in the textbooks of each organization and the lists drawn up by the studies themselves and plus, they found all the textbooks were working on every different stage of learning. In the end, all those differences became the foundation of a discussion of this study. In Chapter 1, a research goal and research methods were introduced and, the study took a look into the advance researches. In Chapter 2, as believing that idiomatic expressions that are frequently used by native Koreans should be these to be first investigated, the study examined discussions of JANG Dong-eun (2009) and CHO Hye-in (2011) which had been proceeded with based on this corpus of colloquial Korean words introduced in <Sejong Planning of the 21st Century> organized by The International Korean Institute of The Korean Language. Furthermore, in order to prepare a standard educational reference for Korean language education, of all these in-depth researches that had been handled by organizations of public confidence, the study conducted analyses on 『Korean Dictionary for Foreigners』, 『Korean 100 Adages and 100 Idioms』, 「International Standard for Korean Language Education Stage 2」and 「Research on Korean Language Education Vocabulary Content Development (Stage1, 2)」. In Chapter 3, The study carried out a research targeting native Koreans to come up with these three criterions of idiomatic expressions gained from the data mentioned above, and the criterions would include use frequency, vocabulary difficulty and semantic transparency and as a next step, the study discussed the idiomatic expressions by grade. In Chapter 4, the study worked on a summary of its research findings as sharing academic significance and limits of itself.",,short_abstract
한국어 학술어 목록의 학술 텍스트 점유율에 관한 연구 = A Study on Lexical Coverage of the Korean Academic Word List,"윤새롬 ( Yoon Saerom ),김영규 ( Kim Youngkyu )",연세대학교 언어연구교육원 한국어학당,외국어로서의 한국어교육(Teaching Korean as a Foreign Language),"Vol.47No.-[2017]
",2017,,"학술어/사고도구어(academic vocabulary),한국어능력시험 어휘(Test of Proficiency in Korean [TOPIK] vocabulary),텍스트 점유율(lexical coverage),경영학개론 텍스트(introduction to business management text),마케팅 텍스트(marketing text)",700,KCI등재,"학술저널
",,193-212,3,,," KCI, &nbsp;&nbsp; KISS",,,"The aim of this study is to confirm lexical coverage by a Korean academic word list in academic text. For this purpose, two textbooks from a business administration major, which is the most popular among the international students in Korea, were chosen as the text for analysis. In this text, the lexical coverage of a word list by Shin (2004), chosen as the Korean academic word list, and an elementary- and intermediatelevel TOPIK word list, chosen as the Korean basic word list, was investigated. The result shows that Shin’s (2004) academic word list provided a high percentage of lexical coverage (i.e., an average of 37.28%) and increased lexical coverage by an average of 14.39% even when the duplicate words with the TOPIK word list had been excluded. This result confirms that Shin’s (2004) Korean academic word list alone provides a high percentage of lexical coverage in academic text and compensates effectively for a vocabulary gap that can be felt when international students in Korea know only the elementary- and intermediate-level TOPIK word list as well. Therefore, it is essential for academic-purpose learners to be taught an academic word list, and follow-up research for the effective teaching of such a list should continue.
(Ewha Womans University)",,short_abstract
한국어 L1 화자와 L2 화자의 서사 텍스트에 나타난 응결성 비교 = A Comparative Analysis of Cohesion in Narrative Text between Korean L1 and L2 Speakers,이숙 ( Lee¸ Sook ),연세대학교 언어연구교육원 한국어학당,외국어로서의 한국어교육(Teaching Korean as a Foreign Language),"Vol.62No.-[2021]
",2021,,"어휘응결,lexical cohesion,통사적 응결장치,syntactic cohesive device,의미응결,semantic cohesion,직시기능,deitic function,서법기능,modal function",700,KCI등재,"학술저널
",,199-225,0,,," KCI, &nbsp;&nbsp; KISS",,,"This paper aims to analyze the differences between Korean L1 group and L2 group in cohesive expression in narrative text writing. The previous studies have been pointed out that the Korean L2 texts lack cohesive expression, but not enough contrast studies have been done comparing cohesive expressions between L1 and L2 texts. Thus, it was difficult for L2 speakers to recognize how their textual composition should be modified in comparison to L1 speakers.
This paper analyzes the characteristics of L1 text that L2 speakers can refer to for text writing. It examined the method of lexical cohesion, the use of tense forms, the use of sentential conjunctions and conjunctive endings for semantic cohesion, and the use of determinative phrases as representative language devices in cohesive expression.
There was no significant difference between the two groups in the expression of lexical cohesion, which was considered to be related to the lack of substitutive pronouns in Korean. In use of the tense form, the two groups showed a distinct contrast, with L2 speakers using the tense form as a deitic function, while L1 speakers used it as a modal function. In addition, although both groups used sentential conjunctions and conjunctive endings as cohesive devices, the L1 group used sentential conjunctions much more diversely and more often. In contrast, the L2 group showed a relatively high dependence on conjunctive endings than sentential conjunctions.
Finally, semantic cohesion by determinative phrase differed significantly in the two groups. In L1 text, unlike in L2, noun phrases in each sentential component have been modified by a determinative phrase. In conclusion, L2 speakers need to be trained with the use of sentential conjunctions, along with the modal function of tense forms. In addition, they need to use determinative phrases for semantic cohesion more often.
(Jeonju University)",,short_abstract
"연세대학교 한국어학당 교재 분석 = An Analysis of The Textbooks of KLI, Yonsei University",한송화 ( Han Song Hwa ),연세대학교 언어연구교육원 한국어학당,외국어로서의 한국어교육(Teaching Korean as a Foreign Language),"Vol.28No.-[2003]
",2003,,"교재,교재 개발,과제,기능,주제,문법,어휘,문화",700,KCI등재,"학술저널
",,331-362,22,,," KCI, &nbsp;&nbsp; KISS",서울대학교 중앙도서관,,,,short_abstract
모바일 기반 한자어 교육에 대한 연구 = A Study on Mobile Assisted Education of Sino Korean Vocabulary,이영희 ( Lee Young Hee ),연세대학교 언어연구교육원 한국어학당,외국어로서의 한국어교육(Teaching Korean as a Foreign Language),"Vol.57No.-[2020]
",2020,,"모바일 기반 어휘 학습,Mobile Assisted Vocabulary Learning,MAVL,모바일 학습 앱,Mobile Learning App,한자어,Sino-Korean Vocabulary,어휘 형성 원리,Principle of Word Formation,ARCS 동기 유발 모델,ARCS Motivation Model",700,KCI등재,"학술저널
",,119-139,0,,," KCI, &nbsp;&nbsp; KISS",,,"This study aims to present app development procedures and models for Mobile Assisted Sino Korean Vocabulary Learning. It is based on learning content through the principle of word formation. Using Keller's ARCS Motivation model, the design of the Sino Korean Vocabulary learning mobile app, app flow chart, and app screens were created. The paper discusses mobile learning, which is connected to paper textbooks, and is useful in reinforcing a learners’vocabulary. Mobile Assisted Vocabulary Learning (MAVL) allows students to use mobile devices on their own for self-directed learning without any time and space constraints. This study will contribute to the development of mobile vocabulary learning apps in the future.
(Sookmyung Women’s University)",,short_abstract
한국어 어휘 인식을 위한 혼합형 음성 인식 단위 = Monophone and Biphone Compuond Unit for Korean Vocabulary Speech Recognition,"이기정,이상운,홍재근",한국컴퓨터산업학회,컴퓨터産業敎育學會論文誌(Journal of the Korea computer industry education society),"Vol.2No.6[2001]
",2001,Korean,,,,"학술저널
",,867-874,,,, ScienceON,,,"In this paper, considering the pronunciation characteristic of Korean, recognition units which can shorten the recognition time and reflect the coarticulation effect simultaneously are suggested. These units are composed of monophone and hipbone ones. Monophone units are applied to the vowels which represent stable characteristic. Biphones are used to the consonant which vary according to adjacent vowel. In the experiment of word recognition of PBW445 database, the compound units result in comparable recognition accuracy with 57％ speed up compared with triphone units and better recognition accuracy with similar speed. In addition, we can reduce the memory size because of fewer units.",,short_abstract
한국어 공공 어휘 교육의 실행 방안 : 한국어 교육과 공공 언어 교육의 접점을 바탕으로 = Implementation Ways for Korean Public Vocabulary Education : Based on the Intersection of Korean Education and Public Language Education,김규훈 ( Kim Kyoohoon ),한국민족연구원,민족연구(Minjok Yeonku),"Vol.-No.84[2024]
",2024,,"공공 언어,한국어 교육,공공 어휘,어휘 사용,한국어 어휘 교육,한국어 공공 어휘 학습 활동,Public Language,Korean Education,Public Vocabulary,Vocabulary Use,Korean Vocabulary Education,Korean Public Vocabulary Learning Activities",300,KCI등재,"학술저널
",,158-179,,,," KCI, &nbsp;&nbsp; KISS",,,"The purpose of this study is to explore the implementation plan for public vocabulary education in Korean. To achieve this aim, the intersection of Korean education and public language education was first identified. Based on the necessity for foreign learners to communicate in public language within Korean society, the goals and content of Korean public language education were outlined. Subsequently, Korean public vocabulary education was categorized as a sub-area of Korean public language education. By understanding the scope of existing Korean vocabulary education, it was confirmed that accurate and appropriate vocabulary usage is essential, especially from the perspective of vocabulary usage education. Based on this, learning activities for Korean public vocabulary education were designed. To this end, the learner levels for the implementation of Korean public vocabulary education were established based on the grade-specific objectives of the Korean standard curriculum. Accordingly, learning activities were devised for intermediate-level international students to understand and use public vocabulary related to civil service forms.",,short_abstract
한국어 학습자를 위한 한국어 어휘 중심 교육 방안 연구,이은영,한국언어연구학회,언어학연구(Journal of Linguistic Studies),"Vol.20No.2[2015]
",2015,Korean," focusing on a vocabulary learning, pre-class, while-class, post-class, practice, presentation, activity",,KCI등재후보,"학술저널
",,121-137,3,,," KCI, &nbsp;&nbsp; eArticle",,,"The purpose of this study is to review mainly used education method and suggest specific activities related to Korean vocabulary focused education for foreign students. The significant factor in learning Korean is the vocabulary. So there is recently more emphasis on the importance of Korean vocabulary focused education. In this education method, Foreign learners can be learned new vocabulary in the following ways : In advance foreign learners is presented specific word and use that word in various situations. Repeating our ways enable to use that word in real situation. In this study, I suggest study activities in pre-class, while-class and post-class using vocabulary about places. Learners should study preparation of word in pre-class times and situation study and practices repeatedly in while-class times. After class learners can be checked vocabulary power using assignments and tests. This education method is helpful to foreign learners and teachers in Korean education field.
","Abstract
 1. 서론
 2. 한국어 어휘 중심 교육의 필요성
 3. 한국어 어휘 중심 교육의 방법
  3.1 어휘 제시의 시기
  3.2 어휘 제시의 방법
  3.3 어휘 연습의 반복
 4. 한국어 어휘 중심 수업의 실제
  4.1 수업 전 단계
  4.2 수업 시간
  4.3 수업 후 단계
 5. 결론
 참고문헌",short_abstract
어휘 능력 개념의 자장(磁場)과 한국어 교육,신명선,국제한국언어문화학회,국제한국언어문화학회 학술대회,"Vol.2016No.11[2016]
",2016,Korean,,,,"학술저널
",,114-128,,,, eArticle,,,,"1. 서론
  1.1. 연구의 필요성과 목적
  1.2. 연구사, 연구 내용과 흐름
  1.3. 연구의 범위와 한계
 2. 어휘 능력과 어휘 교육
 3. 한국어 교재에 반영된 어휘 능력의 관점
 4. 어휘 능력과 어휘 교육의 거리: 교육의 실제성
 5. 점검과 한계: 어휘 능력 개념의 자장과 교육 그리고 교육 철학의 성립 가능성
 참고문헌
 토론문",short_abstract
韓國語 敎育에서의 漢字·漢字語 敎育의 位相 定立과 方案 硏究의 必要性,송병열,한국한자한문교육학회,한국한자한문교육학회 학술대회,"Vol.2013No.1[2013]
",2013,Korean,,710,,"학술저널
",,1-13,,,, 코리아스칼라,,,,"Ⅰ. 들어가는 말
 Ⅱ. 韓國語에서 漢字의 位相과 漢字 敎育
 Ⅲ. 한국어에서 한자 어휘의 위상과 漢字 語彙 學習의 問題
 Ⅳ. 나오는 말","short_abstract,no_relevant_keyword"
KFL 교육과정을 위한 한국어교육·학습용 참조 어휘목록과 검색 시스템 개발 = The Development of a Reference Word List for Teaching and Learning the Korean Language and a Searching System for KFL Curricular,"김창구(Kim, Chang-Goo)",언어과학회,언어과학연구(The Journal of Linguistics Science),"Vol.0No.78[2016]
",2016,Korean,"기본어휘(basic word),말뭉치(corpus),어휘 목록(vocabulary list),구어(spoken language),영화 · 드라마(movies and TV dramas)",,KCI등재,"학술저널
",http://www.lss.re.kr/,37-65,1,,," KCI, &nbsp;&nbsp; DBpia",,,"The purpose of this study is to report on the process of developing a word list for teaching the Korean language (RWL) and constructing a searching system on Microsoft’s EXCEL. First, the existing lists of basic Korean words are analysed (i.e., reference materials, vocabulary selection procedure etc.). Based on the analysis, I constructed and analysed three million-scaled corpus, consisting of 4 sub-corpus (‘Sejong Spoken Corpus’, ‘Korean movies and TV dramas,’ ‘textbooks,’ and ‘TOPIK’), 9 existing word lists, and 2 general corpus. Based on these source corpus I made 4 separated lists and combined them on EXCEL. Following that, various information (ID, parts-of-speech, meanings, guide words, frequency, range between lists, proficiency levels, etc.) were attached to every word. Finally, the concluding case study showed that the RWL can make reliable vocabulary lists depending on the levels of the number of words.","1. 머리말
2. 선행 연구
3. 새로운 어휘 목록 작성을 위한 핵심 고려 사항
4. 방법론
5. 한국어교육 · 학습용 참조 어휘 목록
6. 나가기
참고문헌
",short_abstract
접두사(接頭辭)를 이용한 한국어(韓國語) 어휘(語彙) 교육(敎育) 연구－교육용(敎育用) 접두사(接頭辭) 목록(目錄)과 교수(敎授)·학습(學習) 전략을 주(主)로 하여－ = A Study on Teaching Korean Prefixes ?Focus on a List of Educational Prefix and Teaching and Learning Strategy-,조창규 ( Jo Chang-gyu ),한국어문교육연구회,어문연구(The Society for Korean Language & Literary Research),"Vol.35No.2[2007]
",2007,,"접두사,접두사(接頭辭) 목록(目錄),빈도,분포,파생어수(派生語數),활용도,어휘학습전략(語彙學習戰略),prefix,a list of prefixes for learners of Korean,fre- quency,distribution,number of derivative,a practical use,vocabulary learning strategy",700,KCI등재,"학술저널
",,405-429,,,," KCI, &nbsp;&nbsp; KISS",서울대학교 중앙도서관,,"A knowledge of affixes and roots has two values for a learner of Korean: it can be used to help the learning of unfamiliar words by relating these words to known words or to known prefixes and suffixes, and it can be used as a way of checking whether an unfamiliar word has been successfully guessed from context.
The purposes of this paper are as follows: (1) to present a list of prefixes for learners of Korean and (2) to suggest strategies of prefixes teaching and learning. In order to accomplish these purposes, I present a list of prefixes which is based on the modern Korean corpus. And I select 157 Korean prefixes for learners from 2,459 words. The list contains frequency, distribution, number of derivative, idiomatic expres-sions, meaning frequency. The list indicates an order for teaching and learning that will give the best return for learning effort.
And I suggest four teaching and learning strategies; using of word structure, making of new words, repetition learning, self-examination.",,short_abstract
한국어 문법의 교육 내용 구축 방안- 한국어 문법 교사를 위하여 - = Method of Korean grammatical analysis - For Korean Grammar Teachers -,박동호 ( Pak Dongho ),한국문법교육학회,문법 교육(Grammar education),"Vol.28No.-[2016]
",2016,,"한국어 문법의 분석 방법,교육 내용,한국어 문법 교사,문법항목,어휘항목,어휘-문법,method of Korean grammatical analysis,educational substance,Korean grammar teacher,grammatical items,lexical items,lexicon-grammar",700,KCI등재,"학술저널
",,59-75,1,,," KCI, &nbsp;&nbsp; KISS",,,"This article aims to examine the method of Korean grammatical analysis for Korean grammar teachers. Firstly, the method of Korean grammatical analysis needs to be inductive. Some grammatical phenomena, being able to be explained by the rules without any exception should be explained by the rules. Other grammatical phenomena which can not be explained by the rules have to be examined and reviewed in detail on the basis of large corpus. Depending on practical standards as Korean language education, it is desirable that those be organized and explained provisionally. Secondly, it is the preferred grammar for Korean education that could provide syntactic and distributional information collectively about lexical items as well as grammatical items. Such grammar is called `lexicon-grammar`. Thirdly, it is necessary that the point of view of discourse and pragmatics has to be introduced positively in terms of the construction of Korean grammatical substance and its analysis. Lastly, predefined grammatical items could be subdivided into new grammatical items based on detailed observation and analysis, and such analysis is required for the construction of educational substance and instruction of Korean grammar as a foreign language.",,short_abstract
내용 중심 학문목적 한국어교육을 위한 교육용 어휘의 선정 -문화예술경영 전공 대학원 학습자를 중심으로- = Selection of Educational Nouns for Content-based Academic Korean Education -Focusing on graduate learners who major in culture and arts management administration-,남신혜(南信惠) ( Nam Sin-hye ),한국어문교육연구회,어문연구(The Society for Korean Language & Literary Research),"Vol.47No.4[2019]
",2019,,"學術語,語彙 選定,學問目的 韓國語 敎育,內容 中心 敎授法,말뭉치 分析,Academic Vocabulary,Vocabulary Selection,Korean Language Education for Academic Purpose,Content-Based Instruction,Corpus Analysis",700,KCI등재,"학술저널
",,431-450,0,,," KCI, &nbsp;&nbsp; KISS",홍익대학교 중앙도서관,,"The purpose of this study is to select academic vocabulary for teaching and learning as part of the development of academic Korean language content for international students majoring in culture and arts management at graduate schools in Korea. Since culture and arts management is unique in that it is a fusion of culture and arts and business administration, the contents of academic Korean teaching and learning specialized in this field need to be developed. This study selected academic vocabulary, focusing on writing thesis, one of the most necessary functions for graduate students. Vocabulary selection method is as follows. First, a corpus was built by collecting the texts to be studied. Second, the first candidate vocabulary was selected based on the coverage. Third, the second candidate vocabulary was selected based on the redundancy and frequency among the selected vocabularies. Lastly, considering the mastery of graduate students, only 4th grade vocabulary was selected. This study will be meaningful in that it is the first study to select academic vocabulary for use in contents-based instruction in the field of culture and arts management, which has been rapidly increasing in recent years.",,short_abstract
한국어 교재에 나타난 교육용 어휘 분석 : 유의어를 중심으로,임지아,동아대학교 국어국문학과,국어국문학,"Vol.24No.-[2005]
",2005,Korean,,810.000,,"학술저널
",,121-146,,,, RISS,,,,"1. 머리말
2. 한국어 교재의 교육용 어휘
 2.1. 한국어 교육 과정에서의 교육용 어휘
 2.2. 유의어의 개념 및 오류 분석
 2.3. 중급 교재에서의 유의어 어휘 분석
 2.4. 유의어의 의미 차이 분석
3. 맺음말",short_abstract
